DATE,TIME,OPEN,HIGH,LOW,CLOSE
2024.09.05,23:15:00,2514.9,2515.88,2514.8,2515.67
2024.09.05,23:30:00,2515.69,2516.53,2515.54,2516.49
2024.09.05,23:45:00,2516.49,2516.73,2515.99,2516.63
2024.09.06,01:00:00,2516.84,2516.95,2516.09,2516.2
2024.09.06,01:15:00,2516.19,2516.42,2515.89,2516.0
2024.09.06,01:30:00,2516.0,2516.18,2515.58,2515.76
2024.09.06,01:45:00,2515.75,2516.2,2515.7,2516.06
2024.09.06,02:00:00,2516.05,2517.57,2516.01,2516.93
2024.09.06,02:15:00,2516.93,2517.39,2516.74,2517.25
2024.09.06,02:30:00,2517.24,2517.68,2517.07,2517.36
2024.09.06,02:45:00,2517.36,2517.93,2516.91,2517.14
2024.09.06,03:00:00,2517.2,2517.56,2516.57,2516.81
2024.09.06,03:15:00,2516.81,2517.25,2516.02,2516.14
2024.09.06,03:30:00,2516.11,2516.62,2515.51,2516.18
2024.09.06,03:45:00,2516.18,2516.51,2515.61,2515.81
2024.09.06,04:00:00,2515.81,2516.58,2514.28,2515.78
2024.09.06,04:15:00,2515.82,2516.26,2514.66,2514.9
2024.09.06,04:30:00,2514.9,2515.19,2513.4,2515.06
2024.09.06,04:45:00,2515.05,2515.69,2513.7,2513.71
2024.09.06,05:00:00,2513.7,2515.42,2512.9,2514.9
2024.09.06,05:15:00,2514.89,2516.46,2514.83,2515.56
2024.09.06,05:30:00,2515.66,2517.44,2514.89,2516.61
2024.09.06,05:45:00,2516.58,2517.92,2516.55,2517.65
2024.09.06,06:00:00,2517.65,2517.86,2516.82,2517.71
2024.09.06,06:15:00,2517.71,2517.93,2516.9,2517.33
2024.09.06,06:30:00,2517.33,2517.86,2516.84,2517.37
2024.09.06,06:45:00,2517.37,2518.28,2517.14,2518.14
2024.09.06,07:00:00,2518.12,2518.78,2517.69,2518.61
2024.09.06,07:15:00,2518.61,2519.17,2518.3,2518.87
2024.09.06,07:30:00,2518.88,2519.44,2518.41,2518.5
2024.09.06,07:45:00,2518.5,2518.99,2518.27,2518.32
2024.09.06,08:00:00,2518.31,2520.25,2518.31,2519.77
2024.09.06,08:15:00,2519.77,2520.69,2519.71,2520.46
2024.09.06,08:30:00,2520.46,2521.1,2519.31,2520.03
2024.09.06,08:45:00,2520.03,2521.7,2519.0,2520.0
2024.09.06,09:00:00,2519.98,2520.02,2518.37,2519.13
2024.09.06,09:15:00,2519.13,2521.31,2518.52,2519.97
2024.09.06,09:30:00,2520.05,2520.08,2516.53,2519.22
2024.09.06,09:45:00,2519.22,2519.88,2518.12,2519.11
2024.09.06,10:00:00,2519.11,2519.74,2517.98,2518.94
2024.09.06,10:15:00,2518.93,2519.84,2518.11,2519.26
2024.09.06,10:30:00,2519.29,2519.36,2517.73,2518.3
2024.09.06,10:45:00,2518.3,2519.32,2516.21,2516.4
2024.09.06,11:00:00,2516.4,2518.14,2515.42,2518.0
2024.09.06,11:15:00,2518.0,2518.01,2516.09,2516.83
2024.09.06,11:30:00,2516.82,2518.04,2516.63,2517.52
2024.09.06,11:45:00,2517.53,2518.08,2517.31,2517.76
2024.09.06,12:00:00,2517.75,2518.3,2516.27,2516.91
2024.09.06,12:15:00,2516.92,2518.35,2516.65,2518.02
2024.09.06,12:30:00,2518.02,2519.74,2517.47,2519.57
2024.09.06,12:45:00,2519.57,2519.82,2518.26,2519.13
2024.09.06,13:00:00,2519.1,2519.12,2517.24,2519.03
2024.09.06,13:15:00,2519.03,2519.59,2517.61,2519.16
2024.09.06,13:30:00,2519.16,2519.75,2517.15,2517.35
2024.09.06,13:45:00,2517.35,2519.38,2517.35,2518.86
2024.09.06,14:00:00,2518.86,2519.52,2518.16,2518.75
2024.09.06,14:15:00,2518.74,2520.2,2518.42,2518.42
2024.09.06,14:30:00,2518.43,2518.95,2515.85,2515.97
2024.09.06,14:45:00,2515.94,2516.71,2514.62,2516.23
2024.09.06,15:00:00,2516.22,2516.31,2512.65,2513.01
2024.09.06,15:15:00,2513.01,2517.15,2512.12,2516.43
2024.09.06,15:30:00,2516.69,2529.08,2507.85,2524.72
2024.09.06,15:45:00,2524.77,2527.07,2520.53,2522.17
2024.09.06,16:00:00,2522.15,2522.93,2511.18,2514.63
2024.09.06,16:15:00,2514.64,2514.64,2506.63,2508.51
2024.09.06,16:30:00,2508.52,2511.71,2502.17,2505.63
2024.09.06,16:45:00,2505.63,2511.04,2504.45,2509.26
2024.09.06,17:00:00,2509.3,2509.69,2502.39,2508.22
2024.09.06,17:15:00,2508.17,2510.05,2503.88,2505.11
2024.09.06,17:30:00,2505.07,2515.51,2500.38,2513.28
2024.09.06,17:45:00,2513.27,2515.13,2505.71,2506.68
2024.09.06,18:00:00,2506.68,2518.33,2505.86,2514.16
2024.09.06,18:15:00,2514.16,2517.98,2511.67,2515.27
2024.09.06,18:30:00,2515.17,2515.8,2508.61,2509.2
2024.09.06,18:45:00,2509.24,2509.76,2503.59,2505.47
2024.09.06,19:00:00,2505.34,2505.67,2495.58,2496.96
2024.09.06,19:15:00,2496.93,2497.01,2489.36,2494.18
2024.09.06,19:30:00,2494.18,2495.06,2485.06,2487.51
2024.09.06,19:45:00,2487.47,2489.21,2485.02,2488.91
2024.09.06,20:00:00,2488.91,2491.38,2485.85,2490.33
2024.09.06,20:15:00,2490.33,2496.16,2490.12,2495.05
2024.09.06,20:30:00,2495.06,2496.91,2491.48,2494.04
2024.09.06,20:45:00,2494.04,2496.64,2491.96,2495.41
2024.09.06,21:00:00,2495.43,2496.15,2491.93,2494.49
2024.09.06,21:15:00,2494.5,2496.84,2493.2,2495.91
2024.09.06,21:30:00,2495.88,2496.17,2493.0,2493.61
2024.09.06,21:45:00,2493.61,2495.11,2493.09,2494.5
2024.09.06,22:00:00,2494.61,2495.06,2490.6,2494.3
2024.09.06,22:15:00,2494.31,2495.18,2492.82,2494.38
2024.09.06,22:30:00,2494.39,2496.18,2493.39,2494.8
2024.09.06,22:45:00,2494.83,2496.76,2494.83,2495.87
2024.09.06,23:00:00,2495.81,2496.19,2494.67,2495.15
2024.09.06,23:15:00,2495.14,2496.08,2495.08,2495.33
2024.09.06,23:30:00,2495.27,2496.6,2495.12,2496.09
2024.09.06,23:45:00,2496.05,2497.72,2495.75,2497.61
2024.09.09,01:00:00,2497.09,2498.09,2496.27,2496.72
2024.09.09,01:15:00,2496.7,2496.9,2496.22,2496.29
2024.09.09,01:30:00,2496.29,2497.47,2496.01,2497.46
2024.09.09,01:45:00,2497.48,2497.88,2497.19,2497.79
2024.09.09,02:00:00,2497.83,2498.2,2497.36,2497.77
2024.09.09,02:15:00,2497.77,2497.8,2495.88,2496.2
2024.09.09,02:30:00,2496.22,2496.94,2495.45,2496.75
2024.09.09,02:45:00,2496.75,2496.87,2495.78,2496.81
2024.09.09,03:00:00,2496.81,2498.13,2496.7,2497.52
2024.09.09,03:15:00,2497.55,2497.98,2495.57,2495.74
2024.09.09,03:30:00,2495.72,2497.79,2495.71,2496.13
2024.09.09,03:45:00,2496.14,2497.12,2495.54,2495.89
2024.09.09,04:00:00,2495.9,2498.58,2494.6,2497.31
2024.09.09,04:15:00,2497.31,2497.73,2495.39,2497.64
2024.09.09,04:30:00,2497.65,2498.17,2495.98,2497.98
2024.09.09,04:45:00,2497.98,2497.98,2496.5,2497.6
