datetime,type,price,size
2024-01-05 14:15:00,buy,2039.8100000000002,3
2024-01-05 14:30:00,sell,2038.79,-3
2024-01-05 14:30:00,sell,2038.79,-3
2024-01-05 14:45:00,buy,2040.0600000000002,3
2024-01-05 14:45:00,buy,2040.0600000000002,3
2024-01-05 15:30:00,sell,2039.39,-3
2024-01-05 15:45:00,buy,2033.84,1
2024-01-05 15:45:00,buy,2033.84,1
2024-01-05 15:45:00,buy,2033.84,1
2024-01-05 16:15:00,sell,2039.8100000000002,-3
2024-01-05 16:30:00,buy,2046.76,1
2024-01-05 16:30:00,buy,2046.76,1
2024-01-05 16:30:00,buy,2046.76,1
2024-01-05 18:00:00,sell,2054.89,-3
2024-01-05 18:00:00,sell,2054.89,-3
2024-01-05 18:00:00,sell,2054.89,-3
2024-01-05 20:45:00,buy,2045.25,6
2024-01-05 21:00:00,buy,2048.22,1
2024-01-05 21:00:00,buy,2048.22,1
2024-01-05 21:00:00,buy,2048.22,1
2024-01-05 21:30:00,sell,2047.34,-3
2024-01-05 21:45:00,sell,2046.58,-1
2024-01-05 21:45:00,sell,2046.58,-1
2024-01-05 21:45:00,sell,2046.58,-1
2024-01-05 23:00:00,buy,2043.53,3
2024-01-05 23:00:00,buy,2043.53,3
2024-01-05 23:15:00,sell,2044.37,-3
2024-01-05 23:15:00,sell,2044.37,-3
2024-01-05 23:15:00,sell,2044.37,-3
2024-01-05 23:30:00,buy,2044.75,6
2024-01-05 23:45:00,buy,2044.74,1
2024-01-05 23:45:00,buy,2044.74,1
2024-01-05 23:45:00,buy,2044.74,1
2024-01-08 01:15:00,sell,2045.05,-3
2024-01-08 01:30:00,buy,2044.44,1
2024-01-08 01:30:00,buy,2044.44,1
2024-01-08 01:30:00,buy,2044.44,1
2024-01-08 01:45:00,sell,2044.07,-3
2024-01-08 01:45:00,sell,2044.07,-3
2024-01-08 01:45:00,sell,2044.07,-3
2024-01-08 02:15:00,buy,2044.9800000000002,6
2024-01-08 02:30:00,buy,2045.82,1
2024-01-08 02:30:00,buy,2045.82,1
2024-01-08 02:30:00,buy,2045.82,1
2024-01-08 03:15:00,sell,2045.3499999999997,-3
2024-01-08 03:30:00,buy,2045.8,1
2024-01-08 03:30:00,buy,2045.8,1
2024-01-08 03:30:00,buy,2045.8,1
2024-01-08 03:45:00,sell,2043.63,-3
2024-01-08 03:45:00,sell,2043.63,-3
2024-01-08 03:45:00,sell,2043.63,-3
2024-01-08 05:30:00,buy,2039.9800000000002,6
2024-01-08 05:45:00,buy,2037.38,1
2024-01-08 05:45:00,buy,2037.38,1
2024-01-08 05:45:00,buy,2037.38,1
2024-01-08 06:00:00,sell,2036.05,-3
2024-01-08 06:00:00,sell,2036.05,-3
2024-01-08 06:00:00,sell,2036.05,-3
2024-01-08 08:15:00,buy,2032.0600000000002,6
2024-01-08 08:30:00,buy,2031.98,1
2024-01-08 08:30:00,buy,2031.98,1
2024-01-08 08:30:00,buy,2031.98,1
2024-01-08 09:15:00,sell,2032.54,-3
2024-01-08 09:15:00,sell,2032.54,-3
2024-01-08 10:00:00,buy,2031.49,3
2024-01-08 10:00:00,buy,2031.49,3
2024-01-08 10:15:00,sell,2028.97,-3
2024-01-08 10:15:00,sell,2028.97,-3
2024-01-08 10:15:00,sell,2028.97,-3
2024-01-08 11:15:00,buy,2028.1500000000003,6
2024-01-08 11:30:00,buy,2028.3,1
2024-01-08 11:30:00,buy,2028.3,1
2024-01-08 11:30:00,buy,2028.3,1
2024-01-08 12:00:00,sell,2028.9800000000002,-3
2024-01-08 12:15:00,buy,2028.93,1
2024-01-08 12:15:00,buy,2028.93,1
2024-01-08 12:15:00,buy,2028.93,1
2024-01-08 12:30:00,sell,2027.9800000000002,-3
2024-01-08 12:30:00,sell,2027.9800000000002,-3
2024-01-08 12:30:00,sell,2027.9800000000002,-3
2024-01-08 15:00:00,buy,2024.51,6
2024-01-08 15:15:00,buy,2020.88,1
2024-01-08 15:15:00,buy,2020.88,1
2024-01-08 15:15:00,buy,2020.88,1
2024-01-08 15:30:00,sell,2022.0,-3
2024-01-08 15:45:00,buy,2022.48,1
2024-01-08 15:45:00,buy,2022.48,1
2024-01-08 15:45:00,buy,2022.48,1
2024-01-08 16:00:00,sell,2019.05,-3
2024-01-08 16:00:00,sell,2019.05,-3
2024-01-08 16:00:00,sell,2019.05,-3
2024-01-08 16:45:00,buy,2023.8100000000002,6
2024-01-08 17:00:00,buy,2026.33,1
2024-01-08 17:00:00,buy,2026.33,1
2024-01-08 17:00:00,buy,2026.33,1
2024-01-08 18:30:00,sell,2033.8499999999997,-3
2024-01-08 18:30:00,sell,2033.8499999999997,-3
2024-01-08 21:15:00,buy,2028.13,3
2024-01-08 21:30:00,buy,2028.28,1
2024-01-08 21:30:00,buy,2028.28,1
2024-01-08 21:30:00,buy,2028.28,1
2024-01-08 22:15:00,sell,2026.41,-3
2024-01-08 22:15:00,sell,2026.41,-3
2024-01-08 23:00:00,buy,2027.1899999999998,3
2024-01-08 23:15:00,buy,2027.82,1
2024-01-08 23:15:00,buy,2027.82,1
2024-01-08 23:15:00,buy,2027.82,1
2024-01-09 03:15:00,sell,2033.34,-3
2024-01-09 03:30:00,buy,2032.42,1
2024-01-09 03:30:00,buy,2032.42,1
2024-01-09 03:30:00,buy,2032.42,1
2024-01-09 03:45:00,sell,2031.87,-3
2024-01-09 03:45:00,sell,2031.87,-3
2024-01-09 03:45:00,sell,2031.87,-3
2024-01-09 04:00:00,buy,2032.16,6
2024-01-09 04:15:00,buy,2034.94,1
2024-01-09 04:15:00,buy,2034.94,1
2024-01-09 04:15:00,buy,2034.94,1
2024-01-09 05:00:00,sell,2034.13,-3
2024-01-09 05:00:00,sell,2034.13,-3
2024-01-09 05:30:00,buy,2034.38,3
2024-01-09 05:30:00,buy,2034.38,3
2024-01-09 05:45:00,sell,2033.8100000000002,-3
2024-01-09 05:45:00,sell,2033.8100000000002,-3
2024-01-09 05:45:00,sell,2033.8100000000002,-3
2024-01-09 08:00:00,buy,2032.76,6
2024-01-09 08:15:00,sell,2031.47,-1
2024-01-09 08:15:00,sell,2031.47,-1
2024-01-09 08:15:00,sell,2031.47,-1
2024-01-09 08:45:00,buy,2034.39,3
2024-01-09 08:45:00,buy,2034.39,3
2024-01-09 09:00:00,sell,2033.14,-3
2024-01-09 09:00:00,sell,2033.14,-3
